T_K;cp;h;s0
273.15;1.105;296.3;7.128
288.15;1.108;312.9;7.187
323.15;1.116;351.8;7.315
373.15;1.126;407.9;7.476
423.15;1.138;464.5;7.618
473.15;1.151;521.7;7.746
523.15;1.166;579.6;7.862
573.15;1.181;638.3;7.969
623.15;1.197;697.7;8.069
673.15;1.213;757.9;8.162
723.15;1.229;819;8.249
773.15;1.245;880.8;8.332
823.15;1.261;943.5;8.41
873.15;1.277;1007;8.485
923.15;1.292;1071.2;8.557
973.15;1.306;1136.1;8.625
1023.15;1.32;1201.8;8.691
1073.15;1.334;1268.2;8.754
1123.15;1.347;1335.2;8.815
1173.15;1.359;1402.8;8.874
1223.15;1.37;1471;8.931
1273.15;1.381;1539.8;8.986
1323.15;1.392;1609.1;9.04
1373.15;1.401;1679;9.092
1423.15;1.411;1740.3;9.142
1473.15;1.42;1820;9.191
1523.15;1.428;1891.2;9.238
1573.15;1.436;1962.8;9.285
1623.15;1.444;2034.8;9.33
1673.15;1.451;2107.2;9.374
1723.15;1.458;2179.9;9.416
1773.15;1.464;2252.9;9.458
1873.15;1.476;2400;9.539
1973.15;1.487;2548.1;9.616
2073.15;1.497;2697.3;9.69
2173.15;1.506;2847.4;9.76
